"scenario","type","valence","mean","sd"
17,"character","inculpatory",0.911503625182215,0.238011452268311
18,"physical","exculpatory",-0.491558615950726,0.305168081877366
18,"physical","ambiguous",0.102125244418254,0.281071195691229
18,"physical","inculpatory",1.80874651986338,0.352646364232053
18,"document","exculpatory",-0.974274652904868,0.267047421764799
18,"document","ambiguous",0.600639883399358,0.285711836484617
18,"document","inculpatory",1.5298261879585,0.312437884462202
18,"witness","exculpatory",-0.807647475286841,0.238852709921709
18,"witness","ambiguous",-0.160140237967085,0.185620460568495
18,"witness","inculpatory",1.36767312606065,0.221359991183384
18,"character","exculpatory",-0.353372822975146,0.141633056682297
18,"character","inculpatory",0.97405711758352,0.23184442482416
19,"physical","exculpatory",-1.39932029609788,0.296069273398741
19,"physical","ambiguous",0.566074129735089,0.30574454897327
19,"physical","inculpatory",2.67961409820706,0.32077912839962
19,"document","exculpatory",-0.854660540405986,0.276907311572053
19,"document","ambiguous",0.351665786048913,0.298289240425273
19,"document","inculpatory",1.4391495704154,0.31776058961203
19,"witness","exculpatory",-0.409660226249861,0.262861090471085
19,"witness","ambiguous",-0.172920015633848,0.171767325143041
19,"witness","inculpatory",1.2402868332479,0.225785547234184
19,"character","exculpatory",-0.329265735570264,0.144627039529553
19,"character","inculpatory",0.878166443003646,0.222243034609248
20,"physical","exculpatory",-0.943365911799913,0.273178642539227
20,"physical","ambiguous",0.529759161331638,0.275743944574433
20,"physical","inculpatory",1.52630888792738,0.334792072425285
20,"document","exculpatory",-0.83537347238765,0.269406408921038
20,"document","ambiguous",0.0203689264541961,0.281952105615562
20,"document","inculpatory",1.64938155637093,0.302252534118923
20,"witness","exculpatory",-0.559053493676992,0.237764710568852
20,"witness","ambiguous",-0.0740790180308872,0.180426540698706
20,"witness","inculpatory",1.02692547450464,0.267438815533512
20,"character","exculpatory",-0.379459446701083,0.148125854752178
20,"character","inculpatory",0.967583830165684,0.230976684101413
21,"physical","exculpatory",-1.0989748545712,0.285093568666352
21,"physical","ambiguous",0.311152368677534,0.285166533715826
21,"physical","inculpatory",2.79526702846309,0.298549927672766
21,"document","exculpatory",-0.949507360487359,0.281367113094036
21,"document","ambiguous",0.533942622909809,0.283991854663375
21,"document","inculpatory",0.43982094348645,0.336086212400194
21,"witness","exculpatory",-0.933674080032803,0.246221171047048
21,"witness","ambiguous",-0.251172564941962,0.1868535385423
21,"witness","inculpatory",1.23300847478256,0.221666574055989
21,"character","exculpatory",-0.380260470013427,0.149809659631969
21,"character","inculpatory",0.702703532766216,0.223873236021072
22,"physical","exculpatory",-1.21785612235309,0.280919711315622
22,"physical","ambiguous",0.389305912985407,0.293734842433487
22,"physical","inculpatory",2.39841613520274,0.301976454366164
22,"document","exculpatory",-0.978435004087601,0.269940413438617
22,"document","ambiguous",0.285874492287239,0.286240844577091
22,"document","inculpatory",2.0724873994483,0.30941355572484
22,"witness","exculpatory",-0.509453662121196,0.23960854748704
